method,budget,config,total_size,compression_ratio_vs_32bit,estimated_accuracy_loss,feasible
DP,48,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",48,8.0,0.16200000000000014,True
Greedy,48,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2]",46,8.347826086956522,0.17000000000000015,True
Uniform 2-bit,48,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24,16.0,4.462000000000001,True
Uniform 4-bit,48,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",48,8.0,0.16200000000000014,True
Uniform 8-bit,48,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",96,4.0,0.016000000000000014,False
DP,56,"[4, 4, 4, 4, 4, 8, 4, 8, 4, 4, 4, 4]",56,6.857142857142857,0.10400000000000009,True
Greedy,56,"[4, 4, 4, 4, 4, 8, 4, 8, 4, 4, 4, 2]",54,7.111111111111111,0.1120000000000001,True
Uniform 2-bit,56,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24,16.0,4.462000000000001,True
Uniform 4-bit,56,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",48,8.0,0.16200000000000014,True
Uniform 8-bit,56,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",96,4.0,0.016000000000000014,False
DP,60,"[4, 4, 8, 4, 4, 8, 4, 8, 4, 4, 4, 4]",60,6.4,0.08400000000000007,True
Greedy,60,"[4, 4, 8, 4, 4, 8, 4, 8, 4, 4, 4, 4]",60,6.4,0.08400000000000007,True
Uniform 2-bit,60,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24,16.0,4.462000000000001,True
Uniform 4-bit,60,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",48,8.0,0.16200000000000014,True
Uniform 8-bit,60,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",96,4.0,0.016000000000000014,False
DP,64,"[4, 4, 8, 4, 4, 8, 8, 8, 4, 4, 4, 4]",64,6.0,0.07000000000000006,True
Greedy,64,"[4, 4, 8, 4, 4, 8, 4, 8, 8, 4, 4, 4]",64,6.0,0.07000000000000006,True
Uniform 2-bit,64,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24,16.0,4.462000000000001,True
Uniform 4-bit,64,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",48,8.0,0.16200000000000014,True
Uniform 8-bit,64,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",96,4.0,0.016000000000000014,False
DP,72,"[4, 4, 8, 8, 4, 8, 8, 8, 8, 4, 4, 4]",72,5.333333333333333,0.04400000000000004,True
Greedy,72,"[4, 4, 8, 8, 4, 8, 8, 8, 8, 4, 4, 4]",72,5.333333333333333,0.04400000000000004,True
Uniform 2-bit,72,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",24,16.0,4.462000000000001,True
Uniform 4-bit,72,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",48,8.0,0.16200000000000014,True
Uniform 8-bit,72,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",96,4.0,0.016000000000000014,False
